penalty,n_items,items_code,items_label,mae,hi_missed_pct,kappa,n_scored,mae_vs_a1,a1_mae_ref,a0_miss_pct_ref,champion
L2,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0110A,ADL0113A,ADL0115A,ADL0116A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q10설거지,Q13빨래,Q15외출,Q16a쇼핑",0.5604,16.78,0.5524,2186,0.0284,0.5887,17.75,True
L2,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0110A,ADL0114A,ADL0115A,ADL0116A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q10설거지,Q14가전,Q15외출,Q16a쇼핑",0.5584,17.47,0.5536,2192,0.0303,0.5887,17.75,True
L2,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0110A,ADL0115A,ADL0116A,ADL0116B","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q10설거지,Q15외출,Q16a쇼핑,Q16b지불",0.542,20.89,0.5583,2192,0.0468,0.5887,17.75,False
L2,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0110A,ADL0115A,ADL0116A,ADL0117A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q10설거지,Q15외출,Q16a쇼핑,Q17금전",0.5495,17.81,0.5562,2191,0.0392,0.5887,17.75,True
L2,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0110A,ADL0115A,ADL0116A,Q18","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q10설거지,Q15외출,Q16a쇼핑,Q18혼자있기",0.5375,18.06,0.5613,2173,0.0512,0.5887,17.75,True
L2,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0110A,ADL0115A,ADL0116A,ADL0121A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q10설거지,Q15외출,Q16a쇼핑,Q21글쓰기",0.5455,18.21,0.5623,2178,0.0433,0.5887,17.75,True
L2,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0110A,ADL0115A,ADL0116A,ADL0122Q","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q10설거지,Q15외출,Q16a쇼핑,Q22취미",0.5406,17.47,0.5638,2190,0.0481,0.5887,17.75,True
L2,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0110A,ADL0115A,ADL0116A,ADL0123L","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q10설거지,Q15외출,Q16a쇼핑,Q23가전사용",0.5347,17.12,0.5641,2192,0.0541,0.5887,17.75,True
L2,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0111A,ADL0112A,ADL0115A,ADL0116A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q11식사준비,Q12집안일,Q15외출,Q16a쇼핑",0.5751,15.57,0.5456,2191,0.0137,0.5887,17.75,True
L2,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0111A,ADL0113A,ADL0115A,ADL0116A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q11식사준비,Q13빨래,Q15외출,Q16a쇼핑",0.5578,16.84,0.5515,2187,0.0309,0.5887,17.75,True
L2,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0111A,ADL0114A,ADL0115A,ADL0116A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q11식사준비,Q14가전,Q15외출,Q16a쇼핑",0.5832,15.81,0.5395,2193,0.0055,0.5887,17.75,True
L2,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0111A,ADL0115A,ADL0116A,ADL0116B","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q11식사준비,Q15외출,Q16a쇼핑,Q16b지불",0.5513,16.84,0.5599,2193,0.0374,0.5887,17.75,True
L2,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0111A,ADL0115A,ADL0116A,ADL0117A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q11식사준비,Q15외출,Q16a쇼핑,Q17금전",0.5443,17.87,0.5553,2192,0.0445,0.5887,17.75,True
L2,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0111A,ADL0115A,ADL0116A,Q18","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q11식사준비,Q15외출,Q16a쇼핑,Q18혼자있기",0.5426,17.07,0.565,2173,0.0462,0.5887,17.75,True
L2,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0111A,ADL0115A,ADL0116A,ADL0121A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q11식사준비,Q15외출,Q16a쇼핑,Q21글쓰기",0.5548,16.55,0.5569,2179,0.0339,0.5887,17.75,True
L2,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0111A,ADL0115A,ADL0116A,ADL0122Q","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q11식사준비,Q15외출,Q16a쇼핑,Q22취미",0.5623,17.18,0.5502,2191,0.0264,0.5887,17.75,True
L2,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0111A,ADL0115A,ADL0116A,ADL0123L","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q11식사준비,Q15외출,Q16a쇼핑,Q23가전사용",0.56,17.18,0.5499,2193,0.0288,0.5887,17.75,True
L2,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0112A,ADL0113A,ADL0115A,ADL0116A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q12집안일,Q13빨래,Q15외출,Q16a쇼핑",0.558,17.24,0.5514,2188,0.0307,0.5887,17.75,True
L2,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0112A,ADL0114A,ADL0115A,ADL0116A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q12집안일,Q14가전,Q15외출,Q16a쇼핑",0.5378,17.93,0.5602,2194,0.0509,0.5887,17.75,True
L2,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0112A,ADL0115A,ADL0116A,ADL0116B","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q12집안일,Q15외출,Q16a쇼핑,Q16b지불",0.5711,16.9,0.5467,2194,0.0176,0.5887,17.75,True
L2,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0112A,ADL0115A,ADL0116A,ADL0117A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q12집안일,Q15외출,Q16a쇼핑,Q17금전",0.56,17.24,0.5461,2193,0.0288,0.5887,17.75,True
L2,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0112A,ADL0115A,ADL0116A,Q18","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q12집안일,Q15외출,Q16a쇼핑,Q18혼자있기",0.5448,17.07,0.5609,2175,0.0439,0.5887,17.75,True
L2,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0112A,ADL0115A,ADL0116A,ADL0121A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q12집안일,Q15외출,Q16a쇼핑,Q21글쓰기",0.5555,16.96,0.555,2180,0.0332,0.5887,17.75,True
